author,url_identifier,type,subject,campus,date_issued,language,title,department,peerreviewed
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168871,Archival Material,,,2021,,Biological Station,"College of Literature, Science and the Arts records and publications",
"Magnaghi, Russell M.",https://hdl.handle.net/2027.42/167585,Archival Material,,,2021,,Transcript,Russell M. Magnaghi collection,
"Speth, Kelly",https://hdl.handle.net/2027.42/167903,Thesis,Science,,2021,en_US,Developing New Statistical Methods for Challenges in Evaluating Dynamic Treatment Regimes,Dissertations and Theses (Ph.D. and Master's),
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168683,Archival Material,,,2021,,"Interdisciplinary Program in Classical Art and Archaeology (IPCAA) External Review, 1996","College of Literature, Science and the Arts records and publications",
University of Michigan. Office of Multi-Ethnic Student Affairs.,https://hdl.handle.net/2027.42/169084,Archival Material,,,2021,,"Michigan Proud Allied Wolverines Conference Planning Team, 2011",Office of Multi-Ethnic Student Affairs (University of Michigan) records,
University of Michigan. Office of Multi-Ethnic Student Affairs.,https://hdl.handle.net/2027.42/169086,Archival Material,,,2021,,"Muslim Medical Students Association, 2011",Office of Multi-Ethnic Student Affairs (University of Michigan) records,
University of Michigan. Office of Multi-Ethnic Student Affairs.,https://hdl.handle.net/2027.42/168997,Archival Material,,,2021,,"Templates, undated",Office of Multi-Ethnic Student Affairs (University of Michigan) records,
"Cote, Jessica",https://hdl.handle.net/2027.42/168130,Thesis,Health Sciences,,2021,en_US,The Brain-Specific Alternatively Spliced Isoforms of Adapter Protein SH2B1 Regulate Energy Balance and Neuronal Morphology and Function,Dissertations and Theses (Ph.D. and Master's),
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168817,Archival Material,,,2021,,"Molecular, Cellular, and Developmental Biology","College of Literature, Science and the Arts records and publications",
Construction Innovation Forum.,https://hdl.handle.net/2027.42/167689,Archival Material,,,2021,,"NOVA Award Nominations and Investigation Reports, 1990-2006",Construction Innovation Forum Records,
University of Michigan. Office of Multi-Ethnic Student Affairs.,https://hdl.handle.net/2027.42/168946,Archival Material,,,2021,,"Assessment and Evaluation, circa 2008-2011",Office of Multi-Ethnic Student Affairs (University of Michigan) records,
Center for Automotive Research,https://hdl.handle.net/2027.42/167191,Archival Material,,,2021,,"Bylaws, Revised, 2016",Center for Automotive Research records,
"Ray, R.D. et al.",https://hdl.handle.net/2027.42/168541,Article,Science,Ann Arbor,2021,en_US,The problematic psi1 ocean tide,"Earth and Environmental Sciences, Department of",Peer Reviewed
University of Michigan. Office of Multi-Ethnic Student Affairs.,https://hdl.handle.net/2027.42/169040,Archival Material,,,2021,,"Here Earning A Destiny Through Honesty and Eagerness and Determination of Self (HEADS), circa 2010",Office of Multi-Ethnic Student Affairs (University of Michigan) records,
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168680,Archival Material,,,2021,,"Geological Sciences External Review, 1995-1996","College of Literature, Science and the Arts records and publications",
